GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
4726,54700935.74,3001.65,1839.64,5232136.44,1099.23,-101.33,-1042.53,-11719.24,493.8,8662.49,-3329.65,117.86,59935305.89,-3211.79,59932094.1
4751,54553191.25,2962.3,1849.47,5219164.32,450.25,-101.04,-1041.8,-11633.65,514.93,8606.07,-3325.93,117.23,59773962.11,-3208.69,59770753.42
4776,54657000.18,2954.93,1843.87,5172817.54,695.15,-122.85,-1019.72,-11747.03,497.32,8579.13,-3260.73,120.24,59831498.52,-3140.49,59828358.04
4801,54541259.35,2948.97,1867.88,5216806.38,1245.93,-86.75,-1022.25,-11762.26,521.09,8551.46,-3183.5,118.21,59760329.8,-3065.29,59757264.51
4826,54428739.06,3247.19,1852.88,5181984.91,1099.5,-128.01,-1018.78,-11661.65,502.98,8549.46,-3288.52,118.44,59613167.54,-3170.08,59609997.46
4851,54583670.6,2991.85,1881.64,5168363.43,843.81,-90.76,-1033.63,-11645.79,518.95,8652.24,-3349.71,119.94,59754152.33,-3229.77,59750922.56
4876,54337715.7,2858.27,1870.1,5164704.53,666.67,-99.52,-1040.61,-11452.33,532.67,8579.1,-3479.72,119.83,59504334.59,-3359.9,59500974.7
4901,54673141.12,2929.22,1813.47,5215954.78,892.81,-92.42,-1038.43,-11615.22,510.72,8613.58,-3364.3,117.67,59891109.63,-3246.64,59887862.99
4926,54851910.11,2839.15,1837.97,5240530.46,373.27,-98.8,-1028.95,-11533.41,509.19,8564.02,-3434.95,119.0,60093903.03,-3315.94,60090587.08
4951,54935000.62,2826.71,1865.19,5248531.9,240.59,-98.22,-1031.84,-11619.7,528.71,8674.57,-3414.21,120.28,60184918.54,-3293.93,60181624.61
4976,54821698.82,2867.13,1851.8,5164269.68,451.36,-107.37,-1038.79,-11573.29,489.16,8601.88,-3381.36,117.0,59987510.37,-3264.37,59984246.0
5001,54901729.19,2781.14,1840.46,5142348.35,290.51,-104.71,-1018.35,-11467.96,505.43,8574.39,-3486.41,119.95,60045478.46,-3366.46,60042112.0

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2501,54749023.48,3127.01,1799.84,5287430.64,511.32,-116.62,-952.34,-11596.45,493.23,8843.67,-3492.73,121.22,60038563.78,-3371.5,60035192.27
